"","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","SMlin","126",1.89759735798846,1.14420636333687,3.35663382123224,0.640588537529225,0.00844255383398608,0.468976963380625
"2","SMexp","126",2.13478964803866,1.23761089995103,4.09427820582366,0.758368116317805,0.00582454118140192,0.308174845125995
"3","SMexp-2","126",1.94141347501655,1.13105062009933,3.69664535070104,0.663416303147841,0.0125065614315445,0.015648432564497
"4","SMlin","553",2.00495630013091,1.20181070312648,3.58895144389354,0.695622265075078,0.00540006633213339,0.696163062998553
"5","SMexp","553",2.28061616106056,1.31280418910311,4.38886921362767,0.824445652535649,0.00337025105279417,0.469766457604605
"6","SMexp-2","553",2.04046901169812,1.19468015479139,3.79136089560844,0.713179689126558,0.00710323309730646,0.153978961428247
