"","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","SMlin","126",3.08155245762514,1.63651779646755,6.39115068324882,1.12543351468112,0.000612273448347471,1.97219139171397e-06
"2","SMexp","126",2.80840465479017,1.53656047655446,5.63048101544146,1.03261658361229,0.000951716826227552,0.00441170581781857
"3","SMexp-2","126",2.03884301645729,1.23046815882106,3.55014549558436,0.712382498170966,0.00384255358824136,0.0856738413586576
"4","SMlin","553",3.54899441740619,1.78286585515554,8.28250389911363,1.26666430065839,0.000577025042390767,1
"5","SMexp","553",3.31447341392128,1.78094904028175,6.84783718304048,1.19829876152406,0.000233153238796239,5.99219120460712e-07
"6","SMexp-2","553",2.38791553836978,1.44127296098783,4.13803889008611,0.870420825712965,0.000545583877304128,0.0105501657166789
