"","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","SMlin","126",1.26982746009996,0.771662729062967,2.11762175583843,0.238881033051931,0.17530674019911,0.353367031376745
"2","SMexp","126",1.33450886784977,0.802850772252699,2.24365681552957,0.288563334913252,0.133844552458559,0.552280054790001
"3","SMexp-2","126",1.135562819688,0.681259734636086,1.90326816081137,0.127128404404401,0.312597862860871,0.918976069345859
"4","SMlin","553",1.5035235199691,0.897383281866291,2.56673435342387,0.407811366802043,0.0626872207517421,0.181140827683261
"5","SMexp","553",1.65314035778529,0.979955520874219,2.85146024192136,0.502676726175044,0.0312733645777995,0.284778721581164
"6","SMexp-2","553",1.34361418936642,0.800446244469433,2.28422132474614,0.295363139407603,0.132875690030838,0.666407784702093
