"","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","SMlin","126",1.54847885059357,0.392559452933353,1.04186111660527,-0.437273062342091,0.0381392155562476,0.289669667562527
"2","SMexp","126",1.42258833796695,0.432659152891751,1.1269091168537,-0.3524779855942,0.0727654451113328,0.275290798494897
"3","SMexp-2","126",1.19639895094725,0.516426547669304,1.34032005480462,-0.179316170932119,0.228831664879604,0.333663254759734
"4","SMlin","553",1.87544539188575,0.311366444955874,0.877408154077143,-0.628846173552726,0.00798282134220786,0.398627572499289
"5","SMexp","553",1.71776552614413,0.347735034143252,0.947727889877344,-0.54102433354,0.0160726155844387,0.434761964860835
"6","SMexp-2","553",1.43323070804667,0.424482678799357,1.13223864937517,-0.359931132430867,0.073070238657945,0.373017626910462
