"","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","SMlin","126",1.91359217840727,1.16018464852531,3.33464221490124,0.648982197395039,0.0069798253449414,0.388643711221853
"2","SMexp","126",2.06544417486304,1.23445953960165,3.72702613403236,0.725345300068974,0.00441845383275796,0.163242100968732
"3","SMexp-2","126",1.88611259598,1.14396697543792,3.28295454855975,0.634517883373032,0.00816623620539154,0.0588775621059336
"4","SMlin","553",1.89759735798846,1.14420636333687,3.35663382123224,0.640588537529225,0.00844255383398608,0.468976963380625
"5","SMexp","553",2.13478964803866,1.23761089995103,4.09427820582366,0.758368116317805,0.00582454118140192,0.308174845125995
"6","SMexp-2","553",1.94141347501655,1.13105062009933,3.69664535070104,0.663416303147841,0.0125065614315445,0.015648432564497
