"","Distal_parameter","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","SampEn","126",1.96920991582899,1.18379600864183,3.48108283940254,0.677632404349821,0.012380821372765,0.443100283760005
"2","13","ETC","126",1.86241842997102,1.10930329904913,3.39257605282638,0.621875874323789,0.0262765482846429,0.0820799226988009
"3","24","SampEn","126",1.41005892837635,0.876651970197937,2.28508987457297,0.343631496691481,0.155229563531397,0.634975788780586
"4","24","ETC","126",1.4096398353666,0.851973218443828,2.36146733364671,0.343334235850552,0.17497193327885,0.59837831045202
"5","13","SampEn","553",1.54101247229748,0.942793908112992,2.56072591463853,0.432439649944086,0.0863635626675027,0.965250303683425
"6","13","ETC","553",1.96076282825952,1.18800527827827,3.36204568776666,0.673333595616085,0.0101434611853073,0.787128122865548
"7","24","SampEn","553",1.22741587180382,0.507519754352099,1.31128267081426,-0.204911042129125,0.39266187821446,0.209099235215283
"8","24","ETC","553",1.07431372837403,0.575967281228971,1.50947886667539,-0.0716820655103517,0.768605080643929,0.649062648672744
