"","Distal_parameter","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","SampEn","126",1.62755069579067,1.01581120953301,2.69425096758639,0.487076244102808,0.0479851405138193,0.470807661529209
"2","13","ETC","126",1.45911530063215,0.922424511460388,2.35812133411063,0.377830293582083,0.111879893890016,0.470877376260333
"3","24","SampEn","126",1.1398213263502,0.71377844727725,1.83263747615895,0.130871518851017,0.58362324059334,0.153392932684694
"4","24","ETC","126",1.21535915439251,0.78458005891072,1.91999840350952,0.195039633434401,0.388687517832448,0.209836842396743
"5","13","SampEn","553",1.61679224989249,0.995313292348546,2.67758464590858,0.480444093610192,0.055225228645426,0.168130844937383
"6","13","ETC","553",1.34095899568384,0.832974000189418,2.16339648768062,0.293385026415074,0.222616546422941,0.721182685842474
"7","24","SampEn","553",1.19992063119233,0.746743469031556,1.93784916514231,0.182255413933505,0.450849221744556,0.0153793281960048
"8","24","ETC","553",1.36953743080089,0.87763909667206,2.17821096750527,0.314473041075047,0.17175071722955,0.00599706271312261
