"","Distal_parameter","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","SampEn","126",2.92254205600236,1.68157632117965,5.53727065713541,1.07245380468051,0.00036761994902984,0.635702046175905
"2","13","ETC","126",3.73553496414302,2.02211629028897,7.95573346839654,1.31789103835325,0.000141403696142311,0.306216349758785
"3","24","SampEn","126",2.70198388865838,1.59328629423414,4.90130151986347,0.993986276773518,0.000452338353861808,0.39133605782509
"4","24","ETC","126",3.21125539662658,1.82262345985946,6.37580048260686,1.16666194997821,0.000227180909261712,0.07778315045366
"5","13","SampEn","553",2.94634228359989,1.67385642551495,5.73002457948656,1.0805644971705,0.000509711919274801,0.480507696897283
"6","13","ETC","553",3.6552243268855,1.98940469207694,7.64078642246085,1.29615746666322,0.000140890339797345,0.380625482598158
"7","24","SampEn","553",2.73201988866931,1.59009056270907,5.09589447527139,1.00504122157564,0.00061934077319607,0.39577797159211
"8","24","ETC","553",3.23861743032442,1.82781533562485,6.44219046292473,1.17514651969809,0.000221973012869424,0.102575211869191
