"","Distal_parameter","MEAS","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","SampEn","126",2.22832101713882,1.33654883748059,3.9503229077426,0.801248394782484,0.00343019981620532,0.435246367300818
"2","13","ETC","126",2.69971303581767,1.57848113273217,5.07165592325478,0.993145484331349,0.000746244483949133,0.88030205603625
"3","24","SampEn","126",2.02300394809106,1.236850678065,3.45179339722735,0.704583509785811,0.00661158451236893,0.278953397303883
"4","24","ETC","126",2.32862143211352,1.41889386991724,4.11206698445977,0.845276432440624,0.00160113452019863,0.599603024690959
"5","13","SampEn","553",2.92254205600236,1.68157632117965,5.53727065713541,1.07245380468051,0.00036761994902984,0.635702046175905
"6","13","ETC","553",3.73553496414302,2.02211629028897,7.95573346839654,1.31789103835325,0.000141403696142311,0.306216349758785
"7","24","SampEn","553",2.70198388865838,1.59328629423414,4.90130151986347,0.993986276773518,0.000452338353861808,0.39133605782509
"8","24","ETC","553",3.21125539662658,1.82262345985946,6.37580048260686,1.16666194997821,0.000227180909261712,0.07778315045366
